,Recording,Recorder,Date,Time,Filename,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat,Rain_occurrence,Rain_Intesity,Intensity_Category
15038,G47_20180625_200000,G47,2018/06/25,20:00:00,G47_20180625_200000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15039,G47_20180625_201600,G47,2018/06/25,20:16:00,G47_20180625_201600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15040,G47_20180625_203200,G47,2018/06/25,20:32:00,G47_20180625_203200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15041,G47_20180625_204800,G47,2018/06/25,20:48:00,G47_20180625_204800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15042,G47_20180625_210400,G47,2018/06/25,21:04:00,G47_20180625_210400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15043,G47_20180625_212000,G47,2018/06/25,21:20:00,G47_20180625_212000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15044,G47_20180625_213600,G47,2018/06/25,21:36:00,G47_20180625_213600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15045,G47_20180625_215200,G47,2018/06/25,21:52:00,G47_20180625_215200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15046,G47_20180625_220800,G47,2018/06/25,22:08:00,G47_20180625_220800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15047,G47_20180625_222400,G47,2018/06/25,22:24:00,G47_20180625_222400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15048,G47_20180625_224000,G47,2018/06/25,22:40:00,G47_20180625_224000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15049,G47_20180625_225600,G47,2018/06/25,22:56:00,G47_20180625_225600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15050,G47_20180625_231200,G47,2018/06/25,23:12:00,G47_20180625_231200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15051,G47_20180625_232800,G47,2018/06/25,23:28:00,G47_20180625_232800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15052,G47_20180625_234400,G47,2018/06/25,23:44:00,G47_20180625_234400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15053,G47_20180626_000000,G47,2018/06/26,00:00:00,G47_20180626_000000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15054,G47_20180626_001600,G47,2018/06/26,00:16:00,G47_20180626_001600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15055,G47_20180626_003200,G47,2018/06/26,00:32:00,G47_20180626_003200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15056,G47_20180626_004800,G47,2018/06/26,00:48:00,G47_20180626_004800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15057,G47_20180626_010400,G47,2018/06/26,01:04:00,G47_20180626_010400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15058,G47_20180626_012000,G47,2018/06/26,01:20:00,G47_20180626_012000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15059,G47_20180626_013600,G47,2018/06/26,01:36:00,G47_20180626_013600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15060,G47_20180626_015200,G47,2018/06/26,01:52:00,G47_20180626_015200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15061,G47_20180626_020800,G47,2018/06/26,02:08:00,G47_20180626_020800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15062,G47_20180626_022400,G47,2018/06/26,02:24:00,G47_20180626_022400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15063,G47_20180626_024000,G47,2018/06/26,02:40:00,G47_20180626_024000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15064,G47_20180626_025600,G47,2018/06/26,02:56:00,G47_20180626_025600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15065,G47_20180626_031200,G47,2018/06/26,03:12:00,G47_20180626_031200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,1,1,Light
