global_index,field_number_PR,longitud_IG,latitude_IG,day_init_TI,day_end_TI,samp_rate_RE,habitat,pasture,savanna,forest,cover,Filename,name_FI,rain_FI
3654,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220911_044500.WAV,20220911_044500,NO
3655,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_090000.WAV,20220908_090000,YES
3656,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_091500.WAV,20220908_091500,NO
3657,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_093000.WAV,20220908_093000,NO
3658,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_094500.WAV,20220908_094500,NO
3659,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_100000.WAV,20220908_100000,YES
3660,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_101500.WAV,20220908_101500,YES
3661,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_103000.WAV,20220908_103000,NO
3662,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_104500.WAV,20220908_104500,NO
3663,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_110000.WAV,20220908_110000,NO
3664,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_111500.WAV,20220908_111500,NO
3665,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_113000.WAV,20220908_113000,YES
3666,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_114500.WAV,20220908_114500,NO
3667,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_120000.WAV,20220908_120000,NO
3668,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_121500.WAV,20220908_121500,NO
3669,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_123000.WAV,20220908_123000,NO
3670,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_124500.WAV,20220908_124500,NO
3671,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_131500.WAV,20220908_131500,NO
3672,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_133000.WAV,20220908_133000,NO
3673,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_134500.WAV,20220908_134500,NO
3674,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_140000.WAV,20220908_140000,YES
3675,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_141500.WAV,20220908_141500,NO
3676,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_143000.WAV,20220908_143000,NO
3677,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_144500.WAV,20220908_144500,NO
3678,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_150000.WAV,20220908_150000,NO
3679,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_151500.WAV,20220908_151500,NO
3680,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_153000.WAV,20220908_153000,NO
3681,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,20220908_154500.WAV,20220908_154500,NO
