global_index,field_number_PR,longitud_IG,latitude_IG,day_init_TI,day_end_TI,samp_rate_RE,habitat,pasture,savanna,forest,cover,Filename,name_FI,rain_FI
17622,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220907_074500.WAV,20220907_074500,NO
17623,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_120000.WAV,20220904_120000,NO
17624,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_121500.WAV,20220904_121500,NO
17625,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_123000.WAV,20220904_123000,NO
17626,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_124500.WAV,20220904_124500,NO
17627,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_130000.WAV,20220904_130000,NO
17628,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_131500.WAV,20220904_131500,NO
17629,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_133000.WAV,20220904_133000,NO
17630,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_134500.WAV,20220904_134500,NO
17631,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_140000.WAV,20220904_140000,NO
17632,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_141500.WAV,20220904_141500,NO
17633,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_143000.WAV,20220904_143000,NO
17634,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_144500.WAV,20220904_144500,NO
17635,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_150000.WAV,20220904_150000,NO
17636,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_151500.WAV,20220904_151500,NO
17637,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_153000.WAV,20220904_153000,NO
17638,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_154500.WAV,20220904_154500,NO
17639,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_161500.WAV,20220904_161500,NO
17640,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_163000.WAV,20220904_163000,NO
17641,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_164500.WAV,20220904_164500,NO
17642,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_170000.WAV,20220904_170000,NO
17643,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_171500.WAV,20220904_171500,NO
17644,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_173000.WAV,20220904_173000,NO
17645,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_174500.WAV,20220904_174500,NO
17646,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_180000.WAV,20220904_180000,NO
17647,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_181500.WAV,20220904_181500,NO
17648,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_183000.WAV,20220904_183000,NO
17649,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_184500.WAV,20220904_184500,NO
17650,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_190000.WAV,20220904_190000,NO
17651,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_191500.WAV,20220904_191500,NO
17652,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_193000.WAV,20220904_193000,NO
17653,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_194500.WAV,20220904_194500,NO
17654,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_200000.WAV,20220904_200000,NO
17655,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_203000.WAV,20220904_203000,NO
17656,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_204500.WAV,20220904_204500,NO
17657,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_210000.WAV,20220904_210000,NO
17658,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_211500.WAV,20220904_211500,NO
17659,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_213000.WAV,20220904_213000,NO
17660,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_214500.WAV,20220904_214500,NO
17661,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_220000.WAV,20220904_220000,NO
17662,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_221500.WAV,20220904_221500,NO
17663,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_223000.WAV,20220904_223000,NO
17664,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_224500.WAV,20220904_224500,NO
17665,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_230000.WAV,20220904_230000,NO
17666,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_231500.WAV,20220904_231500,NO
17667,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_233000.WAV,20220904_233000,YES
17668,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_234500.WAV,20220904_234500,NO
17669,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_000000.WAV,20220905_000000,YES
17670,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_001500.WAV,20220905_001500,YES
17671,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_004500.WAV,20220905_004500,NO
17672,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_010000.WAV,20220905_010000,NO
17673,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_011500.WAV,20220905_011500,NO
17674,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_013000.WAV,20220905_013000,NO
17675,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_014500.WAV,20220905_014500,NO
17676,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_020000.WAV,20220905_020000,NO
17677,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_021500.WAV,20220905_021500,NO
17678,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_023000.WAV,20220905_023000,NO
17679,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_024500.WAV,20220905_024500,NO
17680,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_030000.WAV,20220905_030000,NO
17681,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_031500.WAV,20220905_031500,NO
17682,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_033000.WAV,20220905_033000,NO
17683,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_034500.WAV,20220905_034500,NO
17684,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_040000.WAV,20220905_040000,NO
17685,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_041500.WAV,20220905_041500,NO
17686,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_043000.WAV,20220905_043000,NO
17687,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_160000.WAV,20220904_160000,NO
17688,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220904_201500.WAV,20220904_201500,NO
17689,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_003000.WAV,20220905_003000,NO
17690,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_044500.WAV,20220905_044500,NO
17691,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_090000.WAV,20220905_090000,NO
17692,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_131500.WAV,20220905_131500,NO
17693,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_173000.WAV,20220905_173000,NO
17694,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220905_214500.WAV,20220905_214500,NO
17695,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220906_020000.WAV,20220906_020000,NO
17696,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063,forest,20220906_061500.WAV,20220906_061500,NO
