global_index,field_number_PR,longitud_IG,latitude_IG,day_init_TI,day_end_TI,samp_rate_RE,habitat,pasture,savanna,forest,cover,Filename,name_FI,rain_FI
47625,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220907_050000.WAV,20220907_050000,NO
47626,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_090000.WAV,20220904_090000,YES
47627,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_091500.WAV,20220904_091500,NO
47628,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_093000.WAV,20220904_093000,NO
47629,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_094500.WAV,20220904_094500,NO
47630,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_100000.WAV,20220904_100000,NO
47631,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_101500.WAV,20220904_101500,NO
47632,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_103000.WAV,20220904_103000,NO
47633,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_104500.WAV,20220904_104500,NO
47634,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_110000.WAV,20220904_110000,NO
47635,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_111500.WAV,20220904_111500,NO
47636,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_113000.WAV,20220904_113000,NO
47637,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_114500.WAV,20220904_114500,NO
47638,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_120000.WAV,20220904_120000,NO
47639,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_121500.WAV,20220904_121500,NO
47640,RZUE12,-73.3972121,3.5160315,4,12,192000,bosque,1.0,0.0,0.0,pasture,20220904_123000.WAV,20220904_123000,NO
