global_index,field_number_PR,longitud_IG,latitude_IG,day_init_TI,day_end_TI,samp_rate_RE,habitat,pasture,savanna,forest,cover,Filename,name_FI,rain_FI
53171,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220907_123000.WAV,20220907_123000,NO
53172,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_164500.WAV,20220904_164500,YES
53173,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_170000.WAV,20220904_170000,NO
53174,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_171500.WAV,20220904_171500,NO
53175,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_173000.WAV,20220904_173000,NO
53176,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_174500.WAV,20220904_174500,NO
53177,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_180000.WAV,20220904_180000,NO
53178,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_181500.WAV,20220904_181500,NO
53179,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_183000.WAV,20220904_183000,NO
53180,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_184500.WAV,20220904_184500,NO
53181,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_190000.WAV,20220904_190000,NO
53182,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_191500.WAV,20220904_191500,NO
53183,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_193000.WAV,20220904_193000,NO
53184,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_194500.WAV,20220904_194500,NO
53185,RZUF07,-73.3937334,3.5341039,4,13,192000,borde,0.3024762578755554,0.6239636778247043,0.0735600642997403,savanna,20220904_200000.WAV,20220904_200000,NO
