global_index,field_number_PR,longitud_IG,latitude_IG,day_init_TI,day_end_TI,samp_rate_RE,habitat,pasture,savanna,forest,cover,Filename,name_FI,rain_FI
75235,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220907_040000.WAV,20220907_040000,NO
75236,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_081500.WAV,20220904_081500,NO
75237,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_083000.WAV,20220904_083000,NO
75238,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_084500.WAV,20220904_084500,NO
75239,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_090000.WAV,20220904_090000,NO
75240,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_091500.WAV,20220904_091500,NO
75241,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_093000.WAV,20220904_093000,NO
75242,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_094500.WAV,20220904_094500,NO
75243,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_100000.WAV,20220904_100000,NO
75244,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_101500.WAV,20220904_101500,NO
75245,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_103000.WAV,20220904_103000,NO
75246,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_104500.WAV,20220904_104500,NO
75247,RZUH11,-73.3862501,3.5195896,4,12,192000,sabana,0.0,0.7340563062706671,0.2659436937293329,savanna,20220904_110000.WAV,20220904_110000,NO
