,field_number_PR,longitud_IG,latitude_IG,day_init_TI,day_end_TI,samp_rate_RE,habitat,pasture,savanna,forest
0,RZUA01,-73.411659,3.55586,3,14,192000,bosque,1.0,0.0,0.0
1,RZUA02,-73.4116585,3.5522694,3,14,192000,bosque,1.0,0.0,0.0
2,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0
3,RZUA04,-73.4115144,3.5449814,3,14,192000,borde,0.5892784917788965,0.4107215082211035,0.0
4,RZUA05,-73.4115714,3.541357,5,13,192000,borde,0.8926641201822663,0.0,0.1073358798177337
5,RZUA06,-73.4114886,3.5378482,4,13,192000,bosque,0.938423204603558,0.0,0.061576795396442
6,RZUA07,-73.4113688,3.53451,5,13,192000,sabana,0.0,0.0,1.0
7,RZUA08,-73.4116395,3.5306852,4,13,192000,bosque,0.8292747008775557,0.1707252991224443,0.0
8,RZUA09,-73.4120533,3.5270875,4,10,192000,borde,0.5378992926532307,0.2449251094876866,0.2171755978590827
9,RZUA10,-73.4117267,3.5232767,4,12,192000,bosque,1.0,0.0,0.0
10,RZUB01,-73.4080305,3.5558748,3,14,192000,bosque,0.727939070949742,0.2484815265645156,0.0235794024857424
11,RZUB02,-73.407822,3.5519733,8,14,192000,bosque,1.0,0.0,0.0
12,RZUB03,-73.4079323,3.548788,3,14,192000,bosque,1.0,0.0,0.0
13,RZUB04,-73.408125,3.5452143,3,11,192000,borde,0.8917835755695714,0.1082164244304284,0.0
14,RZUB05,-73.4080353,3.5414035,5,13,192000,borde,0.8778704377155435,0.0125910562385779,0.1095385060458783
15,RZUB06,-73.4073639,3.5377706,5,13,192000,pastizal,0.1541601778484733,0.0,0.8458398221515265
16,RZUB07,-73.4079365,3.5339204,5,13,192000,potrero,0.0,0.0,1.0
17,RZUB08,-73.4078713,3.5305841,4,12,192000,sabana,0.0370455312069786,0.4057603706656151,0.5571940981274063
18,RZUB09,-73.4079213,3.5269836,4,12,192000,borde,0.6695102955629153,0.3304897044370847,0.0
19,RZUB10,-73.4083064,3.5235147,4,10,192000,bosque,1.0,0.0,0.0
20,RZUB11,-73.4076433,3.520385,4,12,192000,bosque,0.6066770343090174,0.0,0.3933229656909826
21,RZUC01,-73.4046697,3.5556609,3,11,192000,sabana,0.0,0.0,1.0
22,RZUC02,-73.4042293,3.5522801,3,11,192000,borde,0.2153794444959536,0.0540950088022584,0.7305255467017879
23,RZUC03,-73.4044693,3.5486698,3,11,192000,bosque,1.0,0.0,0.0
24,RZUC05,-73.4043366,3.5414907,3,14,192000,bosque,1.0,0.0,0.0
25,RZUC06,-73.4043351,3.537707,3,13,192000,bosque,0.6232992725919217,0.0,0.3767007274080782
26,RZUC07,-73.4044158,3.5340425,5,13,192000,borde,0.5362247182635419,0.1239637011144251,0.3398115806220329
27,RZUC08,-73.404327,3.5306657,4,12,192000,potrero,0.8808567980565835,0.1181769956009257,0.0009662063424907
28,RZUC09,-73.4042486,3.5269262,4,12,192000,bosque,0.7971896550886185,0.1007368199660706,0.1020735249453108
29,RZUC10,-73.4041044,3.5234838,4,12,192000,bosque,0.9111614324919056,0.0888385675080943,0.0
30,RZUC11,-73.4044419,3.5197399,4,12,192000,sabana,0.6444679119225782,0.0,0.3555320880774218
31,RZUC12,-73.40463,3.515825,4,12,192000,bosque,0.9601183720042772,0.0,0.0398816279957228
32,RZUD02,-73.400668,3.5526071,3,11,192000,sabana,0.0,0.0842343157853468,0.9157656842146532
33,RZUD03,-73.400941,3.5484844,3,11,192000,parche,0.4253544445639975,0.495815730401678,0.0788298250343244
34,RZUD04,-73.4008138,3.5449771,3,13,192000,bosque,1.0,0.0,0.0
35,RZUD05,-73.4013883,3.5413791,3,13,192000,pastizal,0.1458805951786303,0.8352505168940055,0.0188688879273641
36,RZUD06,-73.4007694,3.5341646,5,13,192000,bosque,0.7159122275596567,0.2840877724403432,0.0
37,RZUD07,-73.4007314,3.5341718,5,12,192000,bosque,0.8122163776602391,0.0536840761584566,0.1340995461813041
38,RZUD08,-73.4009072,3.5303421,4,12,192000,borde,0.3557152255806941,0.0,0.6442847744193059
39,RZUD09,-73.4008,3.5269333,4,12,192000,bosque,0.8199341432352893,0.0717945187371538,0.1082713380275568
40,RZUD10,-73.400679,3.5231568,4,12,192000,borde,0.1035374098054676,0.742546553777545,0.1539160364169872
