,field_number_PR,longitud_IG,latitude_IG,day_init_TI,day_end_TI,samp_rate_RE,habitat,pasture,savanna,forest,cover,EPS,BGNf,Hf,NDSI,rBA,ADI,pred,Cluster3,XCOORD.y,YCOORD.y,ndmi2022,brillo2022,_slavimean,_MNDWImean,FM,DN,DI,AD,COB,SL,Unnamed: 0,XCOORD.y_x,YCOORD.y_x,FM100_b100mean_100,FM100_b100median_100,DN100_b100mean_100,DN100_b100median_100,DI300_b300mean_300,DI300_b300median_300,COB300_b300mean_300,COB300_b300median_300,DN250_b250mean_250,DN250_b250median_250,DN200_b200mean_200,DN200_b200median_200,DN300_b300mean_300,DN300_b300median_300,DI250_b250mean_250,DI250_b250median_250,DI100_b100mean_100,DI100_b100median_100,DI200_b200mean_200,DI200_b200median_200,COB200_b200mean_200,COB200_b200median_200,Brillo300_b300mean_300,Brillo300_b300median_300,COB250_b250mean_250,COB250_b250median_250,brillo200_b200mean_200,brillo200_b200median_200,AD300_b300mean_300,AD300_b300median_300,AD200_b200mean_200,AD200_b200median_200,AD100_b100mean_100,AD100_b100median_100,COB100_b100mean_100,COB100_b100median_100,brillo250_b250mean_250,brillo250_b250median_250,brillo100_b100mean_100,brillo100_b100median_100,AD250_b250mean_250,AD250_b250median_250,SLAVI250_b250mean_250,SLAVI250_b250median_250,SL300_b300mean_300,SL300_b300median_300,SL250_b250mean_250,SL250_b250median_250,SLAVI300_b300mean_300,SLAVI300_b300median_300,SLAVI200_b200mean_200,SLAVI200_b200median_200,SLAVI100_b100mean_100,SLAVI100_b100median_100,SL200_b200mean_200,SL200_b200median_200,SL100_b100mean_100,SL100_b100median_100,NDMI200_b200mean_200,NDMI200_b200median_200,NDMI100_b100mean_100,NDMI100_b100median_100,FM300_b300mean_300,FM300_b300median_300,FM250_b250mean_250,FM250_b250median_250,llanos300_b300mean_300,llanos300_b300median_300,NDMI300_b300mean_300,NDMI300_b300median_300,NDMI250_b250mean_250,NDMI250_b250median_250,llanos250_b250mean_250,llanos250_b250median_250,ICHN300_b300mean_300,ICHN300_b300median_300,llanos100_b100mean_100,llanos100_b100median_100,llanos200_b200mean_200,llanos200_b200median_200,ICHN250_b250mean_250,ICHN250_b250median_250,FM200_b200mean_200,FM200_b200median_200,ICHN200_b200mean_200,ICHN200_b200median_200,ICHN100_b100mean_100,ICHN100_b100median_100,ICHN2022
0,RZUA01,-73.411659,3.55586,3,14,192000,bosque,1.0,0.0,0.0,pasture,0.201559427089965,0.795689581686617,0.396394462931584,0.856742543719499,0.136397728425599,0.968042386078608,1.0,1.0,0.0,1.0,0.963386440094184,0.768527565498608,0.960587047918452,0.347175748498687,1.0240740738903902e-15,0.0,0.289011463903082,0.551648352737012,1.00636942675159e-15,0.943863399774366,0.290322580645161,2.4999933430081e-06,1.0,1.0,1.0,1.0,1.0,0.624870212989528,0.629618765151247,0.925378228458355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.613621179598341,0.611080669241922,0.591332493266411,0.588863123994446,0.602701760658647,0.59689197795831,0.966879489225858,1.0,0.143287458649986,0.0940235907431726,0.933299127757825,1.0,0.0851651800429507,0.0694993911707269,0.594317705955548,0.666666650109821,0.675796907227115,0.75,0.810821716236652,0.812499988358468,1.0,1.0,0.134692906867973,0.0956162945736447,0.0718209558889411,0.115764229820462,0.630361757300658,0.687500011641532,0.742228175334213,0.881328095127235,0.713067988831086,0.617327492952396,0.74780759250149,0.751695448604655,0.72735941254219,0.866654787659428,0.803987203616799,0.904256258587989,0.918577931766856,0.920050013471618,0.750897356719238,0.787318268451908,0.741954138758191,0.726072044173069,0.819744926330024,0.919613327636304,0.933281935711546,0.935593573857698,0.76034196917528,1.0,0.771326666493217,1.0,0.823948296333315,0.959486967844545,0.74581034895577,0.901024598342134,0.756037148787341,0.905418747853472,0.834867634089688,0.96386811346018,0.80968653169357,0.931453603355287,0.970437124266548,0.971257356636971,0.890477765653037,0.96920931013789,0.825867401108665,0.943928474872087,0.842403629587756,1.0,0.876312104950133,0.957620548984026,0.983765151652168,0.989564254000992,6.4098620285268
1,RZUA02,-73.4116585,3.5522694,3,14,192000,bosque,1.0,0.0,0.0,pasture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RZUA03b,-73.41152,3.5487842,8,14,192000,pastizal,0.7051078192957599,0.29489218070424,0.0,pasture,0.229023047913538,1.0,0.645419710503057,0.531611317837627,0.0230771415041342,0.741072223121531,0.5,3.40181177006284e-16,0.0,0.833333333333314,0.383849670048266,0.749125584492692,0.74788162930705,0.220544492642543,0.597455199613306,0.0,0.0488746123702143,0.239372821777594,0.859135314477645,0.823284381528607,0.301075268817204,1.42856811180536e-06,0.833333194444549,0.583410140775865,0.428571432828903,1.0,1.0,1.0,1.0,0.940347444329589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.887550200803213,1.0,0.0908283093135829,0.0814265452326537,0.916708985327808,1.0,0.119084577744226,0.130414939909159,0.573614806856535,0.6,0.437391621047928,0.500000000000001,0.351834064601381,0.25,0.853697749196141,1.0,0.114420797215043,0.117619313046337,0.147388371849852,0.200356483482143,0.520829830288762,0.562500034924598,0.746513536441138,0.865169344943206,0.0592780038262291,0.0347365226878429,0.0,0.0,0.784008126359079,0.890858484675709,0.702037259102528,0.838120738020801,0.622174045405173,0.661943989173215,0.0514325442190051,0.0747154706579201,0.197832772782613,0.312977007800402,0.714738562203973,0.885336877319509,0.655229743448283,0.808970832362687,0.805474861157427,1.0,0.753735314462003,1.0,0.876435405630543,0.981911788737628,0.811466804781321,0.919961870142757,0.767921028780721,0.905636835847809,0.845915711245434,0.976100754523984,0.853478979526584,0.949898457536151,0.764709737709523,0.925373864786339,0.81444580356176,0.964755390557021,0.815549058348168,0.942093826534011,0.701163854188146,1.0,0.779725809269248,0.922898155180149,0.722208896195889,0.779019238587967,4.82949326540372
3,RZUA04,-73.4115144,3.5449814,3,14,192000,borde,0.5892784917788965,0.4107215082211035,0.0,pasture,0.0798469662560061,0.711206650417335,0.592140553520275,0.648226811364562,0.0587525796480901,0.844323152243448,0.5,0.02765711186997,0.0,0.75,0.699998057603542,0.782105224915134,0.672569772442531,0.679915171617605,0.388123617769669,0.0,0.298378421877342,0.128571428071409,0.794839547243296,0.830059843907014,0.333333333333333,1.07142614069744e-06,0.749999895833412,0.378999554490441,0.28571429848671,1.0,1.0,0.603838876142133,0.597791387041707,0.927939425064544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.601548406100185,0.589305755758929,0.610497776672256,0.604552150787535,0.601192957325092,0.587281236842012,0.875996810207337,1.0,0.0,0.0,0.903796818881478,1.0,0.0,0.0090260458676292,0.62158176537848,0.666666650109821,0.492011468863019,0.500000000000001,0.188976374987121,0.1875,0.789808917197452,1.0,0.0,0.0,0.0934709182821103,0.13753733306881,0.594717558819097,0.625000023283064,0.745489604171077,0.868549388137205,0.190797123995648,0.236346410875895,0.0766920401399887,0.0002469144970334,0.78276752927179,0.902680541033283,0.677352550432281,0.753647218860371,0.39302017226221,0.356156434556502,0.0703798421454565,0.0940995726443097,0.2284075269819,0.377988839872622,0.696402016094095,0.861945211964844,0.426900323664581,0.418474831776489,0.769492470468062,1.0,0.713244930220212,1.0,0.865679057567989,0.969216977763991,0.806249033120624,0.929718799044327,0.76522749536162,0.904118235863716,0.839887125992401,0.96068554262761,0.811169946219087,0.912833100580456,0.623854176962347,0.6348055036913,0.804035154336397,0.943957013711566,0.772021526353897,0.876820571034296,0.642006130091627,1.0,0.719122011396491,0.789547981068715,0.531630324770036,0.499752149235603,4.26962549420899
4,RZUA05,-73.4115714,3.541357,5,13,192000,borde,0.8926641201822663,0.0,0.1073358798177337,pasture,0.164172062064709,0.692352030680567,0.659996785873639,0.810665113397689,0.381191040541502,0.940203570863955,1.0,1.0,0.0,0.666666666666629,0.940359793084768,0.801698088925194,0.871690816190444,0.229348944797079,0.710716849217537,0.995665309129844,0.421115567925702,0.0325714282771189,0.887784494299972,0.878105027073241,0.32258064516129,3.57142425855272e-07,0.666666597222275,0.694009219975241,1.0,0.993942041252055,1.0,0.139957249016976,0.108143068331143,0.932493527691828,1.0,0.995160127195729,1.0,0.995428549449248,1.0,0.992308326691579,1.0,0.128932900586054,0.103655012940933,0.0861624363863688,0.0717797815710611,0.11864797775384,0.0990685892554669,0.930511182108626,1.0,0.143380053368384,0.096203218763653,0.936727578903053,1.0,0.158151310483181,0.135016712688662,0.698931173508469,0.666666650109821,0.645227365214063,0.625000023283064,0.478740147503402,0.531250017462299,0.882165605095541,1.0,0.143949003209092,0.11459347387543,0.266094508677534,0.257254787493449,0.698663351916749,0.687500011641532,0.846403881607734,0.904048579649931,0.371448881583627,0.410919443048177,0.236735719543905,0.315693644086672,0.85021018835518,0.898831870852261,0.819625821715527,0.883262616221399,0.715255865373885,0.808948878781523,0.258359724890328,0.282024537462117,0.445214821263161,0.532712612112536,0.843003030325974,0.893247891315685,0.756548644832683,0.833057861071522,0.829872417301651,1.0,0.818411970115713,1.0,0.927159200074063,0.97561538565625,0.892199444024885,0.924886554236621,0.877367028041439,0.915858114067101,0.926886526916945,0.977822158590416,0.812786719269514,0.874415109306068,0.8707556634145,0.958312508323698,0.917129918949802,0.975337059372227,0.806451383390276,0.877082769257916,0.806481060807031,1.0,0.789716790367714,0.881927046375344,0.708317681358795,0.742850305077186,4.52483908164673
5,RZUA06,-73.4114886,3.5378482,4,13,192000,bosque,0.938423204603558,0.0,0.061576795396442,pasture,0.0959207335826082,0.703240323076627,0.564289613293202,0.820788631724472,0.0638566746033278,0.962548227562623,1.0,0.976265183299159,0.0,0.583333333333314,0.759204260348876,0.0819134309511465,0.086717797161487,0.0928764006059115,0.891375832056965,0.996808100460235,0.56202941346061,0.421071427273133,0.94226946326423,0.856353688795594,0.311827956989247,0.0,0.583333298611137,0.870421246649363,1.0,0.995500969874683,1.0,0.0679630174141869,0.059960732908532,0.715706737337062,1.0,0.970243006767776,1.0,0.982842089926328,1.0,0.928594934019963,1.0,0.0814417903321754,0.0771651150670266,0.1149941423992,0.114743635094585,0.0948074536350268,0.0955595299854687,0.862838915470494,1.0,0.335421489137563,0.171098745237681,0.814007183170857,1.0,0.174953736233945,0.0748802436766973,0.461902187811951,0.466666650109822,0.567263971903883,0.562500034924598,0.618897628581483,0.625000023283064,0.936305732484076,1.0,0.239033083797376,0.105509706012547,0.120366516032362,0.0913591065116992,0.531805108452117,0.500000000000001,0.712992415603217,0.820664116011094,0.623092600916893,0.740199718790752,0.492673625764606,0.564854506096745,0.652302379973729,0.76482582454931,0.763158002280276,0.848639147442703,0.771504381981385,0.836232591987768,0.405048037985677,0.535756990607877,0.347060365640479,0.464064974144729,0.798804899138652,0.875076713031606,0.806030978894739,0.862252122195133,0.602946050587223,0.428571432828903,0.688629118106025,1.0,0.805401961196364,0.944482424466999,0.722091812977452,0.82544210679596,0.769275914727062,0.857238882812854,0.855366574720271,0.958667728686607,0.614150278797761,0.723923680101984,0.908086770328586,0.952038575479298,0.892473427464368,0.964753043542328,0.695380399542526,0.821831843254933,0.764833411124472,1.0,0.74724082579073,0.852032615582277,0.80504810307882,0.863099351761952,4.74756086821658
6,RZUA07,-73.4113688,3.53451,5,13,192000,sabana,0.0,0.0,1.0,forest,0.179839645178255,0.662676104703421,0.0686567673957952,0.0,0.0,0.164058351986144,0.0,1.5685435893837701e-121,0.0,0.5,0.312044934664402,0.95450099099163,7.095093346076719e-16,0.863272895047174,0.0,0.661872328518816,6.11740091216904e-06,0.0,0.0,0.971489292545727,0.344086021505376,2.85713531411602e-06,0.499999791666767,0.0,0.0,0.538601317474797,0.539299561546912,0.0131509085115915,0.0,0.170053925529029,0.0,0.513207217988782,0.551870895431364,0.559175549535884,0.577552892938365,0.422463333631187,0.513495706471153,0.0077568833325606,0.0,0.000125116403976,0.0,0.0033145453356295,0.0,0.0650602409638554,0.0,0.794145458009395,0.860325369968587,0.135036376313954,0.0,0.856276027348006,0.866062357507195,0.0649623707724296,0.0,0.016487258748955,0.0,0.0,0.0,0.0,0.0,0.818273337745154,0.879844607365273,0.927300604537333,0.927982265131569,0.0424884288466827,0.0,0.228044741702094,0.207251374219624,0.929513789475734,0.884096852726501,0.867929640654424,0.851002881287966,0.261916170335007,0.217138605086646,0.199253352447956,0.194052532231714,0.184543442312238,0.191454502218296,0.812363853757905,0.80750105278143,0.866617937897856,0.906148003155219,0.286404244762832,0.300673060969326,0.277329481171583,0.304221175800486,0.0931883781747674,0.0,0.0570630819989742,0.0,0.446628141914486,0.435028035710011,0.354076085649169,0.330266828102838,0.316065182182508,0.311595359503244,0.41124632597731,0.428373018153398,0.142466588756091,0.0538412283279027,0.371787903056777,0.421590561338739,0.385597415651894,0.425478813957554,0.128800925439048,0.0711727155311617,0.0242630392313004,0.0,0.10276123874679,0.0822373970589273,0.0759001999400992,0.076967925531815,2.45316070913604
7,RZUA08,-73.4116395,3.5306852,4,13,192000,bosque,0.8292747008775557,0.1707252991224443,0.0,pasture,0.0353583036812769,0.689982176351248,0.72916308496378,0.661759926909111,0.0094480476073545,0.999703918776869,0.5,0.0064342118745582,0.0,0.416666666666629,0.486288168652172,0.757442599373792,0.74585649184893,0.106011703800773,0.757909201467693,0.0,0.943081518469326,0.379120881228472,0.922235648309338,0.873742504295623,0.258064516129032,2.85713531411602e-06,0.416666493055629,0.740092167931218,1.0,1.0,1.0,0.103113564765984,0.0899898952105806,0.652668923920933,1.0,0.967087714514914,1.0,0.991360047708075,1.0,0.912792605639015,1.0,0.12508019087405,0.122842257079582,0.192959385810714,0.201486603593067,0.14866595350748,0.155357899764008,0.828915662650602,1.0,0.392918758658377,0.260675387683122,0.74987199207679,1.0,0.230136030547398,0.147642964008184,0.448002266839902,0.266666650109821,0.510270226474436,0.406250005820766,0.557238034073073,0.625000023283064,0.916398713826367,1.0,0.307644711673961,0.200150722730222,0.174491227148964,0.17704110918048,0.498525550682353,0.375,0.570097042912091,0.640770263726793,0.476429019013742,0.491962835904906,0.372222974096752,0.376888988727328,0.533293099161472,0.423423994522069,0.589798684969626,0.695141349688086,0.576083595276395,0.68800322622009,0.377938600059388,0.466133442979011,0.42552862803161,0.578735575097141,0.613353142907016,0.773662416451619,0.609098085709921,0.757948388889743,0.504596330718127,0.428571432828903,0.56906062720473,0.428571432828903,0.679564087832535,0.808606655917997,0.577988039360932,0.586887589729208,0.606527354823831,0.744937887606686,0.720466203632907,0.907954497877465,0.533565469565797,0.542346478939119,0.772569171206149,0.91009434985128,0.749094206027038,0.918742371564469,0.600607099057832,0.692731317644447,0.643542859447002,1.0,0.655820261764413,0.796262845378963,0.712794216024744,0.825478229231728,4.51431222875015
8,RZUA09,-73.4120533,3.5270875,4,10,192000,borde,0.5378992926532307,0.2449251094876866,0.2171755978590827,pasture,0.103325736865322,0.833488980186855,0.558204367932974,0.628577801961653,0.0200304251895819,0.923754935664526,0.5,0.0007759599321918,0.0,0.333333333333314,0.809493733511396,0.796736448435239,0.714962990592178,0.280602062842238,0.404877332422968,0.985364577510374,0.315785687130101,0.193379792817176,0.0662338983740665,0.899436265081688,0.268817204301075,2.85713531411602e-06,0.333333194444492,0.395359420520105,0.28571429848671,0.979890389888811,1.0,0.159470160283122,0.151907155633496,0.821336008299953,1.0,0.982145514367555,1.0,0.981862714322268,1.0,0.980030055858196,1.0,0.135807494267687,0.1273025947149,0.0646113947130863,0.0539432581574061,0.111990845801098,0.0944813394448858,0.750997605746209,1.0,0.250617121151357,0.129193233585643,0.801180092355054,1.0,0.313342236693482,0.182611149453888,0.487669356486339,0.533333300219644,0.384836748116695,0.437500011641533,0.28423276299034,0.375,0.65814696485623,1.0,0.272418974740972,0.152671388508595,0.396232911826281,0.325438471885993,0.43746453470635,0.437500011641533,0.629771485221982,0.783110966211741,0.318613649369014,0.349765465929436,0.327276427567542,0.330722475531327,0.663073422870586,0.80748367720457,0.591864267029524,0.754357984994226,0.542596619180762,0.649137813861491,0.38133051879838,0.426579082674459,0.541473544646113,0.578650267317186,0.63317731917035,0.803945258280145,0.605520936626806,0.740291477972751,0.695045298928466,1.0,0.648247211312927,1.0,0.788932303460863,0.959016808935621,0.706246642004839,0.851987013197138,0.671458365888938,0.82738209664566,0.768018970498415,0.952834349517577,0.671748645532293,0.815193095351873,0.704383539255306,0.828553563148503,0.736508509224567,0.941503056782552,0.641983265369374,0.790506348782264,0.578388865882406,0.428571432828903,0.598665357008452,0.738634179728704,0.515356647676791,0.480184116446927,3.74691315963768
9,RZUA10,-73.4117267,3.5232767,4,12,192000,bosque,1.0,0.0,0.0,pasture,0.179007848449767,0.749906896741261,0.390890336414882,0.886769985150615,0.150690288770314,0.965204475817459,1.0,1.0,0.0,0.25,0.870871203637071,0.779402892890096,0.911561322672075,0.3134698843104,1.0240740738903902e-15,0.0,0.164570469296471,0.61881532914902,1.00636942675159e-15,0.836211562323862,0.247311827956989,2.85713531411602e-06,0.249999895833355,1.0,1.0,1.0,1.0,0.269910703451394,0.286537993177096,0.965770559828362,1.0,0.998711955162419,1.0,1.0,1.0,0.992247976281853,1.0,0.282887493644822,0.299200387504641,0.336719743268523,0.352900921493753,0.299281842790461,0.314012639262453,0.998799039231385,1.0,0.0962940280295879,0.049704487660045,0.985081106681928,1.0,0.0445754225297268,0.0435342246056618,0.86041886089138,0.799999950329465,0.845926117763228,0.937500058207663,0.909544830007597,1.0,1.0,1.0,0.0780299853748039,0.0505117585829051,0.0342644516231463,0.0814949250601527,0.870596244838123,0.875000023283066,0.889867851531341,0.919296541495852,0.26444653067666,0.364766844179036,0.157777817007567,0.188572128737134,0.899556136705064,0.92869761258142,0.882835549886128,0.921702846862444,0.873954189729022,0.898979382999954,0.0992379786932069,0.0747154706579201,0.256167592346256,0.370527914925939,0.895014534870679,0.937872950130555,0.890259030625191,0.911177083291637,0.928610323561675,1.0,0.947028643907224,1.0,0.968460403701945,0.993356832604901,0.935337871402354,0.943450293659227,0.915353227253452,0.937931226958326,0.959350625248633,0.99359545331778,0.897215349145794,0.912926413895999,0.967019711663651,0.987064528057137,0.957036141365594,0.995404545228658,0.903023421137346,0.926492833205906,0.972114285922051,1.0,0.905885346329439,0.935940665157444,0.93305368766,0.961601280425442,5.6898562396618
